,order_status,order_item_id,price,freight_value,final_price
0,delivered,1,109.9,14.86,124.76
1,delivered,1,135.0,18.2,153.2
2,delivered,1,159.9,16.88,176.78
3,delivered,1,159.9,19.22,179.12
4,delivered,1,30.0,8.72,38.72
5,delivered,1,39.9,10.96,50.86
6,delivered,1,249.0,58.0,307.0
7,delivered,1,33.0,8.72,41.72
8,delivered,1,76.0,16.97,92.97
9,delivered,1,36.9,17.92,54.82
10,delivered,1,61.9,16.19,78.09
11,delivered,1,31.9,18.23,50.13
12,delivered,1,27.9,16.05,43.95
13,delivered,1,109.9,8.96,118.86
14,delivered,1,51.9,12.49,64.39
15,delivered,1,148.9,21.53,170.43
16,delivered,1,132.4,14.05,146.45
17,delivered,1,86.96,26.11,113.07
18,delivered,2,86.96,26.11,113.07
19,delivered,1,23.9,10.96,34.86
20,delivered,1,89.99,16.39,106.38
21,delivered,1,80.4,15.67,96.07
22,delivered,2,80.4,15.67,96.07
23,delivered,1,89.9,17.88,107.78
24,delivered,1,199.0,32.79,231.79
25,delivered,1,27.9,18.23,46.13
26,delivered,1,34.9,16.05,50.95
27,delivered,1,64.99,31.48,96.47
28,delivered,1,69.9,0.0,69.9
29,delivered,1,45.99,14.1,60.09
30,delivered,1,120.0,7.94,127.94
31,delivered,2,204.0,23.83,227.83
32,delivered,1,45.95,16.79,62.74
33,delivered,1,148.0,15.13,163.13
34,delivered,1,53.44,18.47,71.91
35,delivered,1,104.71,18.61,123.32
36,delivered,2,104.71,18.61,123.32
37,delivered,1,49.99,14.1,64.09
38,delivered,1,129.96,36.74,166.7
39,delivered,1,59.9,29.21,89.11
40,delivered,1,28.7,18.23,46.93
41,delivered,1,49.39,12.69,62.08
42,delivered,1,120.0,18.09,138.09
43,delivered,1,89.18,27.16,116.34
44,delivered,1,320.0,58.91,378.91
45,delivered,1,49.99,25.66,75.65
46,delivered,2,59.99,25.66,85.65
47,delivered,1,81.35,16.76,98.11
48,delivered,1,59.9,17.85,77.75
49,delivered,1,179.9,13.92,193.82
50,delivered,1,115.0,15.69,130.69
51,delivered,1,54.99,15.13,70.12
52,delivered,1,89.9,13.65,103.55
53,delivered,1,228.0,19.68,247.68
54,delivered,1,124.17,17.8,141.97
55,delivered,1,139.0,14.72,153.72
56,delivered,1,64.9,11.95,76.85
57,delivered,1,56.9,18.2,75.1
58,delivered,1,29.9,15.79,45.69
59,delivered,1,85.0,15.34,100.34
60,delivered,1,75.0,21.17,96.17
61,delivered,1,94.99,23.24,118.23
62,delivered,1,75.0,20.58,95.58
63,delivered,1,94.0,18.46,112.46
64,delivered,1,217.85,129.84,347.69
65,delivered,2,142.9,8.66,151.56
66,delivered,3,142.9,8.66,151.56
67,delivered,4,217.85,129.84,347.69
68,delivered,1,249.0,15.22,264.22
69,delivered,1,59.9,14.13,74.03
70,delivered,1,59.99,14.17,74.16
71,delivered,1,293.5,14.18,307.68
72,delivered,1,42.99,27.07,70.06
73,delivered,1,119.0,15.58,134.58
74,delivered,1,79.99,14.31,94.3
75,delivered,1,93.99,23.46,117.45
76,delivered,1,112.99,17.53,130.52
77,delivered,2,112.99,17.53,130.52
78,delivered,3,112.99,17.53,130.52
79,delivered,4,112.99,17.53,130.52
80,delivered,5,112.99,17.53,130.52
81,delivered,6,112.99,17.53,130.52
82,delivered,1,27.99,15.1,43.09
83,delivered,1,94.5,23.24,117.74
84,delivered,1,18.99,17.78,36.77
