,payment_sequential,payment_type,payment_installments,payment_value
0,1,credit_card,8,99.33
1,1,credit_card,1,24.39
2,1,credit_card,1,65.71
3,1,credit_card,8,107.78
4,1,credit_card,2,128.45
5,1,credit_card,2,96.12
6,1,credit_card,1,81.16
7,1,credit_card,3,51.84
8,1,credit_card,6,341.09
9,1,boleto,1,51.95
10,1,credit_card,8,188.73
11,1,credit_card,1,141.9
12,1,credit_card,1,75.78
13,1,credit_card,5,102.66
14,1,credit_card,4,105.28
15,1,credit_card,10,157.45
16,1,credit_card,1,132.04
17,1,credit_card,1,98.94
18,1,credit_card,4,244.15
19,1,credit_card,3,136.71
20,1,credit_card,4,47.69
21,1,credit_card,2,170.57
22,1,credit_card,4,67.5
23,1,credit_card,10,353.09
24,1,boleto,1,330.66
25,2,voucher,1,45.17
26,1,credit_card,2,541.0
27,1,credit_card,2,139.22
28,1,credit_card,2,290.16
29,1,boleto,1,283.34
30,1,credit_card,1,13.78
31,1,credit_card,1,30.28
32,1,credit_card,1,26.58
33,1,credit_card,1,89.68
34,1,credit_card,1,65.09
35,1,credit_card,1,173.84
36,1,credit_card,1,103.49
37,1,credit_card,1,64.03
38,1,credit_card,3,157.15
39,1,boleto,1,130.88
40,1,credit_card,2,47.72
41,1,credit_card,8,117.74
42,1,boleto,1,56.6
43,1,credit_card,1,266.16
44,1,boleto,1,31.38
45,1,credit_card,1,121.49
46,1,credit_card,1,32.0
47,1,credit_card,5,153.41
48,1,credit_card,5,65.71
49,1,credit_card,4,278.22
50,1,credit_card,4,91.66
51,1,credit_card,1,132.51
52,1,credit_card,4,542.66
53,1,boleto,1,166.04
54,1,boleto,1,368.98
55,1,credit_card,2,113.2
56,1,credit_card,3,99.43
57,1,credit_card,2,27.35
58,1,credit_card,4,43.77
59,1,credit_card,2,68.49
60,1,credit_card,2,105.53
61,1,credit_card,8,387.8
62,1,boleto,1,84.14
63,1,credit_card,4,210.82
64,1,boleto,1,90.05
65,1,credit_card,1,67.88
66,1,credit_card,2,37.58
67,1,boleto,1,89.63
68,1,voucher,1,69.46
69,1,credit_card,2,78.3
70,1,voucher,1,50.8
71,1,credit_card,1,34.0
72,1,boleto,1,77.1
73,1,credit_card,5,566.4
74,1,credit_card,8,402.42
75,2,voucher,1,57.53
76,1,credit_card,3,44.01
77,1,credit_card,3,187.51
78,1,credit_card,3,77.7
79,1,credit_card,1,48.68
80,1,credit_card,1,77.29
81,1,credit_card,8,117.71
82,1,credit_card,3,169.34
83,1,credit_card,1,37.61
84,1,credit_card,1,13.8
85,1,debit_card,1,227.12
86,1,credit_card,3,34.78
87,1,credit_card,10,342.56
88,1,credit_card,7,73.34
89,1,credit_card,4,117.85
90,1,credit_card,1,48.62
91,1,credit_card,1,53.99
92,1,credit_card,1,51.14
93,1,credit_card,2,121.45
94,1,credit_card,1,73.34
95,1,credit_card,10,117.68
96,1,credit_card,1,56.77
97,1,credit_card,2,115.59
98,1,credit_card,6,60.07
99,1,credit_card,1,27.27
100,1,boleto,1,32.15
101,1,credit_card,3,195.71
102,2,voucher,1,43.12
103,1,credit_card,1,88.49
104,1,credit_card,3,34.09
105,1,credit_card,1,40.99
106,1,credit_card,3,71.99
107,1,boleto,1,47.0
108,1,credit_card,3,81.78
109,1,credit_card,3,231.45
110,1,credit_card,7,144.2
111,1,debit_card,1,35.14
112,1,credit_card,10,285.79
113,1,credit_card,2,176.7
114,1,credit_card,2,27.63
115,1,credit_card,8,134.56
116,1,credit_card,4,96.98
117,1,credit_card,2,110.03
118,1,credit_card,1,17.78
119,1,credit_card,1,44.0
120,1,credit_card,4,110.11
121,4,voucher,1,22.49
122,1,credit_card,4,46.63
123,1,boleto,1,52.21
124,1,credit_card,2,61.77
125,1,boleto,1,121.88
126,1,credit_card,1,75.75
127,1,credit_card,1,130.22
128,1,credit_card,3,57.53
129,1,credit_card,7,76.02
130,1,boleto,1,90.17
131,1,credit_card,1,31.0
132,1,credit_card,10,106.77
133,1,voucher,1,163.25
134,1,boleto,1,233.66
135,1,credit_card,1,163.08
136,1,credit_card,4,135.93
137,1,credit_card,1,267.05
138,1,credit_card,7,186.72
139,2,voucher,1,30.0
140,1,credit_card,4,97.28
141,1,credit_card,1,48.61
142,1,boleto,1,116.7
143,1,credit_card,1,41.42
144,1,boleto,1,42.19
145,1,credit_card,6,125.53
146,1,credit_card,5,92.76
147,1,credit_card,8,348.02
148,1,credit_card,2,203.3
149,1,credit_card,3,44.35
150,1,credit_card,10,116.05
151,1,boleto,1,85.14
152,1,credit_card,4,236.66
153,1,credit_card,4,220.3
154,1,credit_card,1,180.55
