product_category_name_english,avg(review_score)
"cds_dvds_musicals",4.6111
"fashion_childrens_clothes",4.6000
"books_imported",4.4667
"books_general_interest",4.4111
"costruction_tools_tools",4.3391
"small_appliances_home_oven_and_coffee",4.3205
"luggage_accessories",4.2711
"fashion_shoes",4.2615
"books_technical",4.2578
"home_appliances",4.1725
"computers",4.1698
"home_appliances_2",4.1400
"food_drink",4.1239
"signaling_and_security",4.1178
"fashion_sport",4.1111
"fashion_underwear_beach",4.0982
"furniture_bedroom",4.0839
"pet_shop",4.0830
"small_appliances",4.0805
"toys",4.0805
"perfumery",4.0693
"musical_instruments",4.0550
"stationery",4.0532
"cool_stuff",4.0525
"fashion_bags_accessories",4.0502
"music",4.0500
"cine_photo",4.0408
"dvds_blu_ray",4.0390
"tablets_printing_image",4.0000
"market_place",3.9956
"arts_and_craftmanship",3.9643
"construction_tools_construction",3.9643
"sports_leisure",3.9391
"health_beauty",3.9299
"electronics",3.8919
"consoles_games",3.8863
"baby",3.8844
"agro_industry_and_commerce",3.8616
"fashio_female_clothing",3.8506
"watches_gifts",3.8500
"costruction_tools_garden",3.8451
"industry_commerce_and_business",3.8394
"construction_tools_safety",3.8279
"home_construction",3.8235
"drinks",3.8222
"furniture_mattress_and_upholstery",3.8158
"garden_tools",3.8126
"food",3.8099
"housewares",3.8074
"construction_tools_lights",3.7989
"audio",3.7930
"auto",3.7678
"home_confort",3.7417
"flowers",3.7292
"telephony",3.7247
"kitchen_dining_laundry_garden_furniture",3.7246
"furniture_decor",3.7066
"bed_bath_table",3.6959
"air_conditioning",3.6487
"computers_accessories",3.6265
"christmas_supplies",3.6255
"fashion_male_clothing",3.5083
"art",3.4980
"party_supplies",3.4231
"furniture_living_room",3.4166
"office_furniture",3.2575
"la_cuisine",3.1667
"fixed_telephony",3.1401
"home_comfort_2",2.8913
"diapers_and_hygiene",2.6344
security_and_services,2.5000
