product_category_name_english,review_score,count(review_id)
"bed_bath_table",5,7954
"furniture_decor",5,7308
"health_beauty",5,7080
"sports_leisure",5,6269
"housewares",5,5747
"computers_accessories",5,5648
"garden_tools",5,3982
"watches_gifts",5,3699
"toys",5,2879
"auto",5,2838
"telephony",5,2606
"perfumery",5,2587
"cool_stuff",5,2515
"baby",5,1985
"stationery",5,1838
"electronics",5,1754
"pet_shop",5,1531
"fashion_bags_accessories",5,1426
"office_furniture",5,1038
"construction_tools_construction",5,897
"luggage_accessories",5,796
"consoles_games",5,702
"musical_instruments",5,499
"home_appliances",5,492
"small_appliances",5,478
"books_general_interest",5,468
"home_construction",5,449
"drinks",5,395
"food",5,383
"furniture_living_room",5,334
"home_confort",5,315
"construction_tools_lights",5,279
"food_drink",5,274
"signaling_and_security",5,246
"fashion_shoes",5,213
"air_conditioning",5,213
"market_place",5,212
"audio",5,203
"costruction_tools_garden",5,201
"books_technical",5,196
"industry_commerce_and_business",5,174
"kitchen_dining_laundry_garden_furniture",5,173
"construction_tools_safety",5,166
"computers",5,164
"agro_industry_and_commerce",5,164
"fixed_telephony",5,163
"home_appliances_2",5,137
"christmas_supplies",5,123
"art",5,114
"fashion_underwear_beach",5,95
"fashion_male_clothing",5,92
"furniture_bedroom",5,89
"costruction_tools_tools",5,78
"cine_photo",5,67
"books_imported",5,60
"small_appliances_home_oven_and_coffee",5,52
"tablets_printing_image",5,49
"dvds_blu_ray",5,45
"flowers",5,25
"music",5,24
"party_supplies",5,23
"fashio_female_clothing",5,22
"furniture_mattress_and_upholstery",5,19
"fashion_sport",5,18
"home_comfort_2",5,16
"arts_and_craftmanship",5,16
"cds_dvds_musicals",5,12
"diapers_and_hygiene",5,12
"la_cuisine",5,9
"fashion_childrens_clothes",5,9
