product_category_name_english,count(product_id)
"bed_bath_table",16197
"furniture_decor",14779
"health_beauty",12479
"computers_accessories",11910
"sports_leisure",11216
"housewares",11142
"garden_tools",7399
"watches_gifts",7195
"telephony",5766
"auto",5536
"toys",4772
"cool_stuff",4369
"perfumery",4152
"baby",3789
"electronics",3413
"office_furniture",3378
"stationery",3091
"pet_shop",2612
"fashion_bags_accessories",2504
"construction_tools_construction",1647
"consoles_games",1354
"luggage_accessories",1243
"home_construction",1019
"musical_instruments",852
"furniture_living_room",839
"small_appliances",816
"home_appliances",785
"drinks",760
"food",705
"books_general_interest",664
"home_confort",599
"construction_tools_lights",551
"fixed_telephony",470
"market_place",450
"food_drink",449
"air_conditioning",427
"signaling_and_security",416
"audio",400
"kitchen_dining_laundry_garden_furniture",373
"costruction_tools_garden",366
"industry_commerce_and_business",354
"fashion_shoes",322
"agro_industry_and_commerce",318
"construction_tools_safety",308
"books_technical",285
"computers",265
"christmas_supplies",251
"art",251
"home_appliances_2",247
"fashion_male_clothing",181
"fashion_underwear_beach",163
"furniture_bedroom",142
"costruction_tools_tools",115
"cine_photo",97
"tablets_printing_image",94
"diapers_and_hygiene",93
"fashio_female_clothing",85
"small_appliances_home_oven_and_coffee",78
"dvds_blu_ray",77
"books_imported",75
"party_supplies",52
"flowers",48
"home_comfort_2",46
"fashion_sport",44
"music",40
"furniture_mattress_and_upholstery",38
"arts_and_craftmanship",28
"la_cuisine",18
"cds_dvds_musicals",18
"fashion_childrens_clothes",10
security_and_services,2
