product_category_name_english,review_score,count(review_id)
"agro_industry_and_commerce",1,59
"agro_industry_and_commerce",2,9
"agro_industry_and_commerce",3,13
"agro_industry_and_commerce",4,73
"agro_industry_and_commerce",5,164
"air_conditioning",1,102
"air_conditioning",2,10
"air_conditioning",3,37
"air_conditioning",4,65
"air_conditioning",5,213
"art",1,69
"art",2,7
"art",3,19
"art",4,42
"art",5,114
"arts_and_craftmanship",1,4
"arts_and_craftmanship",3,5
"arts_and_craftmanship",4,3
"arts_and_craftmanship",5,16
"audio",1,67
"audio",2,21
"audio",3,43
"audio",4,67
"audio",5,203
"auto",1,1111
"auto",2,212
"auto",3,373
"auto",4,1031
"auto",5,2838
"baby",1,620
"baby",2,134
"baby",3,296
"baby",4,762
"baby",5,1985
"bed_bath_table",1,3218
"bed_bath_table",2,831
"bed_bath_table",3,1666
"bed_bath_table",4,2867
"bed_bath_table",5,7954
"books_general_interest",1,47
"books_general_interest",2,14
"books_general_interest",3,26
"books_general_interest",4,109
"books_general_interest",5,468
"books_imported",1,7
"books_imported",2,1
"books_imported",3,2
"books_imported",4,5
"books_imported",5,60
"books_technical",1,31
"books_technical",2,8
"books_technical",3,13
"books_technical",4,39
"books_technical",5,196
"cds_dvds_musicals",3,1
"cds_dvds_musicals",4,5
"cds_dvds_musicals",5,12
"christmas_supplies",1,67
"christmas_supplies",2,2
"christmas_supplies",3,12
"christmas_supplies",4,47
"christmas_supplies",5,123
"cine_photo",1,18
"cine_photo",2,2
"cine_photo",3,5
"cine_photo",4,6
"cine_photo",5,67
"computers",1,34
"computers",2,2
"computers",3,13
"computers",4,52
"computers",5,164
"computers_accessories",1,2734
"computers_accessories",2,469
"computers_accessories",3,995
"computers_accessories",4,2168
"computers_accessories",5,5648
"consoles_games",1,212
"consoles_games",2,44
"consoles_games",3,132
"consoles_games",4,265
"consoles_games",5,702
"construction_tools_construction",1,189
"construction_tools_construction",2,80
"construction_tools_construction",3,229
"construction_tools_construction",4,256
"construction_tools_construction",5,897
"construction_tools_lights",1,65
"construction_tools_lights",2,77
"construction_tools_lights",3,41
"construction_tools_lights",4,90
"construction_tools_lights",5,279
"construction_tools_safety",1,60
"construction_tools_safety",2,4
"construction_tools_safety",3,31
"construction_tools_safety",4,47
"construction_tools_safety",5,166
"cool_stuff",1,541
"cool_stuff",2,150
"cool_stuff",3,362
"cool_stuff",4,812
"cool_stuff",5,2515
"costruction_tools_garden",1,69
"costruction_tools_garden",2,16
"costruction_tools_garden",3,19
"costruction_tools_garden",4,63
"costruction_tools_garden",5,201
"costruction_tools_tools",1,12
"costruction_tools_tools",2,1
"costruction_tools_tools",3,1
"costruction_tools_tools",4,23
"costruction_tools_tools",5,78
"diapers_and_hygiene",1,32
"diapers_and_hygiene",3,43
"diapers_and_hygiene",4,6
"diapers_and_hygiene",5,12
"drinks",1,142
"drinks",2,20
"drinks",3,67
"drinks",4,152
"drinks",5,395
"dvds_blu_ray",1,13
"dvds_blu_ray",2,1
"dvds_blu_ray",3,1
"dvds_blu_ray",4,17
"dvds_blu_ray",5,45
"electronics",1,481
"electronics",2,195
"electronics",3,290
"electronics",4,695
"electronics",5,1754
"fashio_female_clothing",1,6
"fashio_female_clothing",2,4
"fashio_female_clothing",3,9
"fashio_female_clothing",4,46
"fashio_female_clothing",5,22
"fashion_bags_accessories",1,317
"fashion_bags_accessories",2,69
"fashion_bags_accessories",3,210
"fashion_bags_accessories",4,509
"fashion_bags_accessories",5,1426
"fashion_childrens_clothes",1,1
"fashion_childrens_clothes",5,9
"fashion_male_clothing",1,56
"fashion_male_clothing",2,3
"fashion_male_clothing",3,7
"fashion_male_clothing",4,23
"fashion_male_clothing",5,92
"fashion_shoes",1,30
"fashion_shoes",2,10
"fashion_shoes",3,18
"fashion_shoes",4,54
"fashion_shoes",5,213
