product_category_name_english,count(order_id),sum(price)
"computers_accessories",34896,3822727.0414488316
"furniture_decor",41825,2795346.356965065
"bed_bath_table",34013,2687420.291800499
"health_beauty",29399,1996913.4122908115
"housewares",32458,1929290.743613243
"auto",16034,1789666.9465076923
"watches_gifts",12469,1771893.2459907532
"office_furniture",12018,1732211.5794887543
"sports_leisure",19320,1725029.6007881165
"garden_tools",23627,1696902.8925037384
"fixed_telephony",1566,1131246.8505749702
"cool_stuff",6361,819006.7319393158
"telephony",13158,776617.338362217
"baby",7267,691605.4327812195
"toys",6712,669113.2104315758
"perfumery",6534,558244.80981493
"construction_tools_construction",5181,511977.34063363075
"pet_shop",4744,399710.3798480034
"computers",445,394245.989364624
"drinks",2988,363460.55044174194
"electronics",5583,353372.6793086529
"stationery",4797,344788.0301821232
"agro_industry_and_commerce",764,309811.2046432495
"furniture_living_room",2649,303707.39175605774
"musical_instruments",1474,273230.9694080353
"fashion_bags_accessories",4014,262137.9708518982
"small_appliances",1248,251581.8700656891
"home_construction",2631,231481.29979228973
"consoles_games",2108,216633.63091993332
"signaling_and_security",1366,186196.6732158661
"luggage_accessories",1629,184219.38982963562
"air_conditioning",933,178041.9191532135
"construction_tools_safety",794,137000.7292060852
"construction_tools_lights",1583,124168.38033294678
"home_confort",1097,116008.99089097977
"home_appliances_2",265,114953.21983718872
"kitchen_dining_laundry_garden_furniture",647,98192.9393081665
"home_appliances",813,81140.23021173477
"market_place",1100,80081.54028892517
"books_general_interest",970,72710.56070327759
"industry_commerce_and_business",582,63721.290143966675
"audio",478,60488.589656829834
"food",1403,58988.96992111206
"costruction_tools_garden",732,58814.03007888794
"small_appliances_home_oven_and_coffee",82,50307.71008014679
"furniture_bedroom",214,40965.179856300354
"christmas_supplies",709,40388.94046831131
"food_drink",1063,37757.370262145996
"art",461,34808.960313797
"fashion_shoes",508,34645.6100025177
"costruction_tools_tools",139,24637.54998111725
"fashion_male_clothing",303,23548.060096740723
"books_technical",321,22914.40014076233
"fashion_underwear_beach",287,12113.69012260437
"cine_photo",183,11265.299946784973
"tablets_printing_image",116,10717.710056304932
"fashio_female_clothing",243,9611.060214996338
"diapers_and_hygiene",345,9295.589992523193
"books_imported",105,7891.419971466064
"dvds_blu_ray",107,7291.709995269775
"music",44,6421.159969806671
"party_supplies",70,5968.659959793091
"fashion_sport",96,4906.200113296509
"furniture_mattress_and_upholstery",38,4368.079982757568
"la_cuisine",26,3279.969997406006
"flowers",108,3197.3200664520264
"arts_and_craftmanship",36,2088.0400104522705
"home_comfort_2",84,1629.0499801635742
"cds_dvds_musicals",26,1270
"fashion_childrens_clothes",14,789.7900085449219
security_and_services,2,283.2899932861328
