sum(total_price),customer_state
14565790.68999226,SP
5486947.900000145,RJ
3961065.509999837,MG
2254312.0899998555,PR
2057749.7899999926,RS
2024133.0899992196,GO
1546347.1599999834,BA
1473043.4599998808,SC
672958.6200000037,ES
661992.7100000189,DF
576404.4500000057,CE
524479.2500000015,MT
510073.31000001024,PE
400795.41999999824,MA
389728.5899999998,PA
347143.6799999928,PB
255070.7499999994,MS
225390.00000000081,PI
157156.40000000043,RN
155173.9100000003,AL
133299.90000000043,SE
104257.66999999998,TO
90244.59999999979,RO
57496.83000000001,AM
49597.03999999983,AC
36917.29000000024,AP
16839.92,RR
